Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
183,18.273,18.068,0.205,,18.848,15.001,3.847,,183,290.232,266.494,23.738,,292.98,289.673,3.307,,183,49.406,40.569,8.837,,41.271,40.946,0.325,,153.574,148.363,5.211,,146.445,149.728,-3.283
185,20.969,16.968,4.001,,15.082,17.261,-2.179,,185,290.17,266.596,23.574,,292.789,290.086,2.703,,185,44.906,43.777,1.129,,44.365,41.278,3.087,,153.551,148.266,5.285,,146.239,148.651,-2.412
187,18.197,15.25,2.947,,16.504,16.905,-0.401,,187,290.214,266.458,23.756,,292.931,289.866,3.065,,187,46.111,34.26,11.851,,44.281,40.674,3.607,,153.605,148.441,5.164,,146.457,148.51,-2.053
189,16.366,13.905,2.461,,16.789,15.198,1.591,,189,291.596,266.594,25.002,,292.924,289.698,3.226,,189,46.715,35.561,11.154,,46.575,40.799,5.776,,154.111,148.369,5.742,,146.323,148.441,-2.118
191,16.82,14.048,2.772,,15.562,15.61,-0.048,,191,292.874,266.685,26.189,,293.003,289.958,3.045,,191,52.945,32.795,20.15,,46.596,39.755,6.841,,153.615,148.321,5.294,,146.423,149.099,-2.676
193,20.11,16.113,3.997,,16.103,12.677,3.426,,193,293.097,266.9,26.197,,293.073,289.736,3.337,,193,52.821,45.974,6.847,,42.708,34.948,7.76,,153.898,148.627,5.271,,146.378,148.717,-2.339
195,17.967,15.757,2.21,,23.431,14.248,9.183,,195,293.109,266.585,26.524,,293.191,289.808,3.383,,195,66.386,57.571,8.815,,48.69,45.4,3.29,,153.702,148.462,5.24,,146.292,148.45,-2.158
197,19.031,14.449,4.582,,21.026,14.701,6.325,,197,292.986,266.411,26.575,,292.917,289.73,3.187,,197,66.916,56.947,9.969,,60.929,51.713,9.216,,154.182,148.148,6.034,,146.215,148.514,-2.299
199,20.465,16.993,3.472,,16.368,14.179,2.189,,199,293.15,266.438,26.712,,292.921,289.877,3.044,,199,67.163,58.587,8.576,,52.617,53.075,-0.458,,154.287,148.427,5.86,,146.348,148.785,-2.437
201,21.866,15.128,6.738,,18.975,16.107,2.868,,201,293,266.64,26.36,,293.033,289.947,3.086,,201,53.273,57.649,-4.376,,61.123,56.367,4.756,,153.872,148.414,5.458,,146.292,148.22,-1.928
203,23.072,14.927,8.145,,20.692,14.408,6.284,,203,293.289,268.848,24.441,,292.961,289.797,3.164,,203,59.521,54.225,5.296,,61.843,56.26,5.583,,153.908,148.327,5.581,,146.182,148.036,-1.854
205,18.672,15.788,2.884,,16.667,15.071,1.596,,205,293.067,289.899,3.168,,292.923,289.771,3.152,,205,65.926,46.496,19.43,,65.71,57.371,8.339,,154.049,148.451,5.598,,146.41,147.659,-1.249
207,20.952,18.993,1.959,,19.609,16.712,2.897,,207,293.102,290.013,3.089,,293.01,289.964,3.046,,207,61.051,49.668,11.383,,63.894,57.548,6.346,,153.744,148.227,5.517,,146.37,147.587,-1.217
209,17.144,16.41,0.734,,19.357,18.35,1.007,,209,292.929,289.893,3.036,,292.866,289.86,3.006,,209,72.221,59.163,13.058,,61.062,57.216,3.846,,154.193,148.317,5.876,,146.326,147.671,-1.345
211,20.686,16.396,4.29,,20.923,17.001,3.922,,211,293.119,290.236,2.883,,293.002,289.647,3.355,,211,71.433,61.104,10.329,,53.784,56.581,-2.797,,154.327,148.251,6.076,,146.611,147.723,-1.112
